time,close,score,conf,pti,qdd_dir,qdd_conf,gravity_block_bull,gravity_block_bear,wick_bull,wick_bear,ema_trend,ema_macro,ema_gravity,atr,last_polar,bars_neutral
2026-05-02 20:00:00,78361.63,1,34,0.08368823315548272,1,0,0,1,0,0,77909.33900814188,77371.45196714353,,,1,
2026-05-02 21:00:00,78431.25,1,35,0.13622974359909293,1,0,0,1,0,0,77939.16374303555,77396.80455825778,,,1,
2026-05-02 22:00:00,78442.89,1,36,0.030242319897878383,1,0,0,1,0,0,77967.94804866605,77419.9760659627,,,1,
2026-05-02 23:00:00,78416.98,1,37,0.020778905356515522,1,0,0,1,0,0,77993.60472481341,77438.82677464436,,,1,
2026-05-03 01:00:00,78792.64,1,38,0.916872524459694,1,0,0,0,0,0,78039.260906531,77464.61997945761,,,1,
2026-05-03 02:00:00,78652.28,1,39,0.5508882314190466,1,0,0,1,0,0,78074.29003131672,77490.2372631831,,,1,
2026-05-03 03:00:00,78499.41,1,40,0.171613062860644,1,0,0,1,0,0,78098.58485525931,77515.91319281413,,,1,
2026-05-03 04:00:00,78199.49,2,1,0.6047666112965828,2,0,0,0,0,0,78104.34955159311,77529.21246227804,,,1,
2026-05-03 05:00:00,78130.85,2,2,1.0,2,0,0,0,0,0,78105.8629224237,77541.22632344962,,,2,
2026-05-03 06:00:00,78161.88,0,200000201,0.93927525557597,2,0,0,1,0,0,78109.0648580067,77556.40218954592,,,2,
2026-05-03 07:00:00,78131.86,2,4,0.7784723908271262,2,0,0,1,0,0,78110.36552244487,77566.42927144622,,,2,
2026-05-03 08:00:00,78207.92,0,200000401,0.03751475354144861,2,0,0,1,0,0,78115.94174847139,77583.11297530912,,,2,
2026-05-03 09:00:00,78248.53,0,200000402,0.45799828275374793,1,0,0,1,0,0,78123.52194095177,77603.26426967021,,,2,
2026-05-03 10:00:00,78316.1,1,1,0.38211964084125105,1,0,0,1,0,0,78134.52669270909,77619.52492403175,,,2,
2026-05-03 11:00:00,78342.82,1,2,0.4939921749840301,1,0,0,1,0,0,78146.42775258339,77633.55849113736,,,1,
2026-05-03 12:00:00,78495.54,1,3,0.616351901597447,1,0,0,1,0,0,78166.3765304836,77652.00236396819,,,1,
2026-05-03 13:00:00,78368.75,1,4,0.2895351815366896,1,0,0,1,0,0,78177.94087486542,77668.14074540595,,,1,
2026-05-03 14:00:00,78620.55,1,5,0.6272418883033216,1,0,0,1,0,0,78203.23075651708,77686.32359396043,,,1,
2026-05-03 15:00:00,78715.8,1,6,0.6703643994200045,1,0,0,1,0,0,78232.51970958346,77708.16577269987,,,1,
2026-05-03 16:00:00,78633.84,1,7,0.2950140298539603,1,0,0,1,0,0,78255.45178253268,77727.99376475942,,,1,
2026-05-03 17:00:00,78699.86,1,8,0.6992456563547469,1,0,0,1,0,0,78280.84666720498,77749.77732234802,,,1,
2026-05-03 18:00:00,78624.8,1,9,0.02407003702919185,1,0,0,1,0,0,78300.5013704531,77769.54964788801,,,1,
2026-05-03 19:00:00,78618.46,1,10,0.38672942744484684,1,0,0,1,0,0,78318.66938927634,77786.90677909617,,,1,
2026-05-03 20:00:00,78693.33,1,11,0.14496794776010213,1,0,0,1,0,0,78340.07705326438,77804.86722640961,,,1,
2026-05-03 21:00:00,78706.09,1,12,0.02766008163697054,1,0,0,1,0,0,78360.99285132653,77826.00810694869,,,1,
2026-05-03 22:00:00,78728.38,1,13,0.3772677713225963,1,0,0,1,0,0,78381.9865794844,77846.31570297458,,,1,
2026-05-03 23:00:00,78835.6,1,14,0.4475383904876233,1,0,0,0,0,0,78407.90790746757,77869.10869143702,,,1,
2026-05-04 00:00:00,78794.4,1,15,0.1951774918115102,1,0,0,1,0,0,78429.99377353008,77890.54093387618,,,1,
2026-05-04 01:00:00,79141.04,1,16,0.7041396620248526,1,0,0,1,0,0,78470.62546435627,77919.01873488403,,,1,
2026-05-04 02:00:00,78528.69,1,17,0.28825584440895374,1,0,0,0,0,0,78473.94305112831,77932.00951700284,,,1,
2026-05-04 03:00:00,78504.73,1,18,0.4360759032259867,2,0,0,1,0,0,78475.70150856451,77943.58797061541,,,1,
2026-05-04 04:00:00,79755.11,1,19,0.8906368142124766,1,0,0,0,0,0,78548.81042676455,77983.64441729488,,,1,
2026-05-04 05:00:00,80130.64,1,20,0.8166702405578773,1,0,0,0,0,0,78639.20061565025,78031.25099570512,,,1,
2026-05-04 06:00:00,80277.96,1,21,1.0,1,0,0,0,0,0,78732.84520545887,78082.90265193005,,,1,
2026-05-04 07:00:00,80299.6,1,22,1.0,1,0,0,0,0,0,78822.37458608011,78132.93417994355,,,1,
2026-05-04 08:00:00,79983.36,1,23,0.2161224452149037,1,0,0,1,0,0,78888.71363883397,78169.77182068599,,,1,
2026-05-04 09:00:00,79823.76,1,24,0.26837952547620336,1,0,0,1,0,0,78942.14543149302,78207.3517554845,,,1,
2026-05-04 10:00:00,79663.0,1,25,0.5378245114077082,1,0,0,1,0,0,78983.33595987984,78238.02541417973,,,1,
